------------------------------------
Optical Potential Information
------------------------------------
    r [fm]   V_real [MeV]   V_imag [MeV]  SO_real [MeV]  SO_imag [MeV]  Coulomb [MeV] 1/r^2 [1/fm^2]
     0.373      0.0459502              0              0              0              0        7.18757
     0.374      0.0459488              0              0              0              0        7.14919
     0.375      0.0459474              0              0              0              0        7.11111
     0.376       0.045946              0              0              0              0        7.07334
     0.377      0.0459446              0              0              0              0        7.03586
     0.378      0.0459432              0              0              0              0        6.99868
     0.379      0.0459417              0              0              0              0         6.9618
      0.38      0.0459403              0              0              0              0        6.92521
     0.381      0.0459389              0              0              0              0         6.8889
     0.382      0.0459375              0              0              0              0        6.85288
     0.383      0.0459361              0              0              0              0        6.81714
     0.384      0.0459346              0              0              0              0        6.78168
     0.385      0.0459332              0              0              0              0         6.7465
     0.386      0.0459318              0              0              0              0        6.71159
     0.387      0.0459304              0              0              0              0        6.67695
     0.388      0.0459289              0              0              0              0        6.64258
     0.389      0.0459275              0              0              0              0        6.60847
      0.39      0.0459261              0              0              0              0        6.57462
     0.391      0.0459246              0              0              0              0        6.54104
     0.392      0.0459232              0              0              0              0        6.50771
     0.393      0.0459218              0              0              0              0        6.47463
     0.394      0.0459203              0              0              0              0         6.4418
     0.395      0.0459189              0              0              0              0        6.40923
     0.396      0.0459174              0              0              0              0         6.3769
     0.397       0.045916              0              0              0              0        6.34482
     0.398      0.0459146              0              0              0              0        6.31297
     0.399      0.0459131              0              0              0              0        6.28137
       0.4      0.0459117              0              0              0              0           6.25
     0.401      0.0459102              0              0              0              0        6.21887
     0.402      0.0459088              0              0              0              0        6.18797
     0.403      0.0459073              0              0              0              0        6.15729
     0.404      0.0459059              0              0              0              0        6.12685
     0.405      0.0459044              0              0              0              0        6.09663
     0.406       0.045903              0              0              0              0        6.06664
     0.407      0.0459015              0              0              0              0        6.03686
     0.408      0.0459001              0              0              0              0         6.0073
     0.409      0.0458986              0              0              0              0        5.97797
      0.41      0.0458971              0              0              0              0        5.94884
     0.411      0.0458957              0              0              0              0        5.91993
     0.412      0.0458942              0              0              0              0        5.89122
     0.413      0.0458928              0              0              0              0        5.86273
     0.414      0.0458913              0              0              0              0        5.83444
     0.415      0.0458898              0              0              0              0        5.80636
     0.416      0.0458884              0              0              0              0        5.77848
     0.417      0.0458869              0              0              0              0         5.7508
     0.418      0.0458854              0              0              0              0        5.72331
     0.419      0.0458839              0              0              0              0        5.69603
      0.42      0.0458825              0              0              0              0        5.66893
     0.421       0.045881              0              0              0              0        5.64204
     0.422      0.0458795              0              0              0              0        5.61533
     0.423       0.045878              0              0              0              0        5.58881
     0.424      0.0458766              0              0              0              0        5.56248
     0.425      0.0458751              0              0              0              0        5.53633
     0.426      0.0458736              0              0              0              0        5.51037
     0.427      0.0458721              0              0              0              0        5.48459
     0.428      0.0458706              0              0              0              0        5.45899
     0.429      0.0458692              0              0              0              0        5.43357
      0.43      0.0458677              0              0              0              0        5.40833
     0.431      0.0458662              0              0              0              0        5.38326
     0.432      0.0458647              0              0              0              0        5.35837
     0.433      0.0458632              0              0              0              0        5.33365
     0.434      0.0458617              0              0              0              0         5.3091
     0.435      0.0458602              0              0              0              0        5.28471
     0.436      0.0458587              0              0              0              0         5.2605
     0.437      0.0458572              0              0              0              0        5.23645
     0.438      0.0458557              0              0              0              0        5.21257
     0.439      0.0458542              0              0              0              0        5.18885
      0.44      0.0458527              0              0              0              0        5.16529
     0.441      0.0458512              0              0              0              0        5.14189
     0.442      0.0458497              0              0              0              0        5.11865
     0.443      0.0458482              0              0              0              0        5.09557
     0.444      0.0458467              0              0              0              0        5.07264
